epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8497.45,1.22641,0.7407,1.10179,0.7817,0.86478,0.88587,0.57831,1.28074,0.76056,1.11752,0.0011882,0.0011882,0.0011882
43,8702.97,1.23252,0.74242,1.09963,0.76905,0.87569,0.88032,0.57775,1.28162,0.82137,1.11965,0.0011684,0.0011684,0.0011684
44,8903.6,1.211,0.72763,1.09269,0.81967,0.82469,0.89025,0.58549,1.26943,0.73587,1.11903,0.0011486,0.0011486,0.0011486
45,9102.68,1.21595,0.70872,1.09559,0.78742,0.86047,0.89165,0.57882,1.27117,0.72961,1.10721,0.0011288,0.0011288,0.0011288
46,9304.53,1.20204,0.70397,1.08334,0.82583,0.85331,0.89241,0.57448,1.29078,0.72383,1.11641,0.001109,0.001109,0.001109
47,9507.77,1.23916,0.72473,1.10415,0.82349,0.84297,0.88759,0.57477,1.29836,0.74289,1.11969,0.0010892,0.0010892,0.0010892
48,9712.67,1.20681,0.71327,1.08596,0.81797,0.87478,0.91074,0.58667,1.29554,0.71047,1.1194,0.0010694,0.0010694,0.0010694
49,9916.66,1.19396,0.69991,1.08242,0.82096,0.86762,0.91315,0.59024,1.27965,0.70219,1.10884,0.0010496,0.0010496,0.0010496
50,10117.4,1.20922,0.69942,1.08487,0.84103,0.83184,0.90777,0.57956,1.30511,0.74558,1.12807,0.0010298,0.0010298,0.0010298
51,10317.5,1.20693,0.69042,1.07998,0.82013,0.88907,0.91322,0.59267,1.26885,0.69484,1.11221,0.00101,0.00101,0.00101
52,10517,1.20932,0.70359,1.08588,0.81448,0.86389,0.89688,0.58058,1.32006,0.77262,1.12828,0.0009902,0.0009902,0.0009902
53,10714,1.19577,0.70202,1.08134,0.82792,0.87299,0.91271,0.57601,1.28596,0.72126,1.14323,0.0009704,0.0009704,0.0009704
54,10909.7,1.18535,0.68304,1.08847,0.84303,0.84794,0.90533,0.59384,1.26993,0.70553,1.11473,0.0009506,0.0009506,0.0009506
55,11112.1,1.19271,0.67901,1.09182,0.83133,0.87289,0.91094,0.59238,1.27995,0.70471,1.11984,0.0009308,0.0009308,0.0009308
56,11312,1.19112,0.67804,1.0872,0.83503,0.84212,0.90309,0.57478,1.34392,0.73745,1.13717,0.000911,0.000911,0.000911
57,11508.7,1.18341,0.6815,1.08094,0.81029,0.87868,0.90923,0.59207,1.27713,0.71629,1.11969,0.0008912,0.0008912,0.0008912
58,11703.7,1.18276,0.67882,1.08006,0.83982,0.86404,0.91328,0.59463,1.29354,0.70033,1.14093,0.0008714,0.0008714,0.0008714
59,11900.9,1.18515,0.67407,1.08674,0.83465,0.87589,0.9141,0.58789,1.28562,0.7268,1.13611,0.0008516,0.0008516,0.0008516
60,12096.6,1.17404,0.66897,1.08379,0.80874,0.87749,0.90224,0.57594,1.30968,0.76164,1.12061,0.0008318,0.0008318,0.0008318
61,12296.3,1.18867,0.67496,1.08382,0.80317,0.8873,0.9011,0.57975,1.2865,0.7773,1.13274,0.000812,0.000812,0.000812
62,12499.6,1.1646,0.66135,1.06961,0.84571,0.85311,0.9157,0.59,1.29511,0.71279,1.12298,0.0007922,0.0007922,0.0007922
63,12701.3,1.17564,0.65847,1.07692,0.83601,0.86636,0.9129,0.59718,1.29146,0.69858,1.13256,0.0007724,0.0007724,0.0007724
64,12900.5,1.18254,0.66911,1.08732,0.81881,0.87299,0.91502,0.59011,1.29305,0.69681,1.12054,0.0007526,0.0007526,0.0007526
65,13097.5,1.14948,0.6659,1.07802,0.81537,0.89982,0.92021,0.58662,1.28822,0.68818,1.13147,0.0007328,0.0007328,0.0007328
